pages,volume,title,abstract,llm_location,reference type,record number,year,date,url,journal,index,short title,notes,issue,issn,accession number,decision,explanation,doi
,27(1) (no pagination),A human papillomavirus (HPV)-1 or HPV-1 genotype is a reliable predictor of residual disease in a subsequent hysterectomy following a loop electrosurgical excision procedure for cervical intraepithelial neoplasia 3,"Objective: This study was conducted using the human papillomavirus (HPV) DNA chip test (HDC), in order to determine whether the HPV genotype is a predictor of residual disease in a subsequent hysterectomy following a loop electrosurgical excision procedure (LEEP) for cervical intraepithelial neoplasia (CIN) 3. Method(s): Between January 2002 and February 2015, a total of 189 patients who underwent a hysterectomy within 6 months of LEEP caused by CIN 3 were included in this study. We analyzed their epidemiological data, pathological parameters, high-risk HPV (HR-HPV) load as measured by the hybrid capture II assay, and HR-HPV genotype as measured by the HDC. A logistic regression model was used to analyze the relationship between covariates and the probability of residual disease in subsequent hysterectomy specimens. Result(s): Of the 189 patients, 92 (48.7%) had residual disease in the hysterectomy specimen, CIN 2 in seven patients, CIN 3 in 79 patients, IA1 cancer in five patients, and IA2 cancer in one patient. Using multivariate analysis, the results were as follows: cone margin positivity (odds ratio [OR], 2.43; 95% CI, 1.18 to 5.29; p<0.05), HPV viral load >=220 relative light unit (OR, 2.98; 95% CI, 1.38 to 6.43; p<0.01), positive endocervical cytology (OR, 8.97; 95% CI, 3.81 to 21.13; p<0.001), and HPV-16 or HPV-18 positivity (OR, 9.07; 95% CI, 3.86 to 21.30; p<0.001). Conclusion(s): The HPV-16 or HPV-18 genotype is a reliable predictive factor of residual disease in a subsequent hysterectomy following a LEEP for CIN 3. Copyright © 2016, Asian Society of Gynecologic Oncology, Korean Society of Gynecologic Oncology.",NA, Journal Article,598126,2016,January,http://ejgo.org/Synapse/Data/PDFData/1114JGO/jgo-27-e2.pdf https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed17&DO=10.3802%2fjgo.2016.27.e2,Journal of Gynecologic Oncology,534359,A human papillomavirus (HPV)-1 or HPV-1 genotype is a reliable predictor of residual disease in a subsequent hysterectomy following a loop electrosurgical excision procedure for cervical intraepithelial neoplasia 3,Embase hybrid capture 2,,2005-0380 2005-0399,607387967 Conization Human papillomavirus Hysterectomy Neoplasm Residual adult aged article cancer patient controlled study DNA microarray electrosurgery female human Human papillomavirus DNA test Human papillomavirus type 16 Human papillomavirus type 18 human tissue major clinical study minimal residual disease/di [Diagnosis] nonhuman predictive value reliability uterine cervix carcinoma in situ/et [Etiology] uterine cervix carcinoma in situ/su [Surgery] uterine cervix cytology virus load loop electrosurgical excision,Include,The study presents a mathematical model (logistic regression model) to analyze clinical outcomes (probability of residual disease) in humans post-infection (following a LEEP procedure for CIN 3 linked to HPV infection). It focuses on health outcomes within an infected population and fits the inclusion criteria.,https://dx.doi.org/10.3802/jgo.2016.27.e2
4791-4805,17,A Regional-Scale Assessment-Based SARS-CoV-2 Variants Control Modeling with Implications for Infection Risk Characterization,"Background: The emergence and progression of highly divergent SARS-CoV-2 variants have posed increased risks to global public health, triggering the significant impacts on countermeasures since 2020. However, in addition to vaccination, the effectiveness of non-pharmaceutical interventions, such as social distancing, masking, or hand washing, on different variants of concern (VOC) remains largely unknown. Objective(s): This study provides a mechanistic approach by implementing a control measure model and a risk assessment framework to quantify the impacts of control measure combinations on the transmissions of five VOC (Alpha, Beta, Delta, Gamma, and Omicron), along with a different perspective of risk assessment application. Material(s) and Method(s): We applied uncontrollable ratios as an indicator by adopting basic reproduction number (R<inf>0</inf>) data collected from a regional-scale survey. A risk assessment strategy was established by constructing VOC-specific dose-response profiles to implicate practical uses in risk characterization when exposure data are available. Result(s): We found that social distancing alone was ineffective without vaccination in almost all countries and VOC when the median R<inf>0</inf> was greater than two. Our results indicated that Omicron could not be contained, even when all control measure combinations were applied, due to its low threshold of infectivity (~3x10<sup>-4</sup> plague-forming unit (PFU) mL<sup>-1</sup>). Conclusion(s): To facilitate better decision-making in future interventions, we provide a comprehensive evaluation of how combined control measures impact on different countries and various VOC. Our findings indicate the potential application of threshold estimates of infectivity in the context of risk communication and policymaking for controlling future emerging SARS-CoV-2 variant infections. Copyright © 2024 Yang et al.",NA, Journal Article,644115,2024,,"https://www.dovepress.com/article/download/96856 https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emexb&DO=10.2147%2fIDR.S480086 (Lin) Institute of Food Safety and Health Risk Assessment, National Yang Ming Chiao Tung University, Taipei 11230, Taiwan (Republic of China) (You) Institute of Food Safety and Risk Management, National Taiwan Ocean University, Keelung City 20224, Taiwan (Republic of China) (Lu) Department of Science Education and Application, National Taichung University of Education, Taichung 403514, Taiwan (Republic of China) (Chen) Department of Environmental and Global Health, College of Public Health and Health Professions, University of Florida, Gainesville, FL 32610, United States (Chen) Center for Environmental and Human Toxicology, University of Florida, Gainesville, FL 32608, United States (Ling) Department of Food Science, National Taiwan Ocean University, Keelung City 20224, Taiwan (Republic of China) (Chen) Department of Public Health, Chung Shan Medical University, Taichung 40201, Taiwan (Republic of China) (Chen) Department of Family and Community Medicine, Chung Shan Medical University Hospital, Taichung 40201, Taiwan (Republic of China)",Infection and Drug Resistance,487990,A Regional-Scale Assessment-Based SARS-CoV-2 Variants Control Modeling with Implications for Infection Risk Characterization,Embase version 4.1.3,,1178-6973 (electronic) 1178-6973,2031829331 infection risk modeling non-pharmaceutical interventions SARS-CoV-2 variants of concern article ed50 hand washing health care policy human immune response immunization mathematical analysis mathematical model maximum drug effect plaque forming unit risk assessment SARS-CoV-2 Alpha SARS-CoV-2 Beta SARS-CoV-2 Delta SARS-CoV-2 Gamma SARS-CoV-2 Omicron Severe acute respiratory syndrome coronavirus 2 social distancing vaccination variant of concern virus shedding virus transmission data analysis software surgical mask version 4.1.3,Include,"The study employs a mechanistic model to assess the impact of control measures on the transmission of SARS-CoV-2 variants, meeting the inclusion criteria for mathematical modeling. It presents health outcomes related to the infectious disease in humans and provides estimates of infectious disease modeling parameters. The study does not focus solely on behavior or attitude, and it is an original peer-reviewed research article published in a scientific journal.",https://dx.doi.org/10.2147/IDR.S480086
93,44,AI-Driven Tools for Coronavirus Outbreak: Need of Active Learning and Cross-Population Train/Test Models on Multitudinal/Multimodal Data,"The novel coronavirus (COVID-19) outbreak, which was identified in late 2019, requires special attention because of its future epidemics and possible global threats. Beside clinical procedures and treatments, since Artificial Intelligence (AI) promises a new paradigm for healthcare, several different AI tools that are built upon Machine Learning (ML) algorithms are employed for analyzing data and decision-making processes. This means that AI-driven tools help identify COVID-19 outbreaks as well as forecast their nature of spread across the globe. However, unlike other healthcare issues, for COVID-19, to detect COVID-19, AI-driven tools are expected to have active learning-based cross-population train/test models that employs multitudinal and multimodal data, which is the primary purpose of the paper.",NA, Journal Article,140724,2020,Mar-18,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med17&DO=10.1007%2fs10916-020-01562-1,Journal of Medical Systems,112742,AI-Driven Tools for Coronavirus Outbreak: Need of Active Learning and Cross-Population Train/Test Models on Multitudinal/Multimodal Data,"Santosh, K C",5,1573-689X,"32189081 *Artificial Intelligence Covid-19 Coronavirus Infections/di [Diagnosis] *Coronavirus Infections/ep [Epidemiology] Decision Making Delivery of Health Care *Disease Outbreaks Forecasting Humans *Machine Learning Pneumonia, Viral/di [Diagnosis] *Pneumonia, Viral/ep [Epidemiology]",Include,"The abstract discusses the use of AI-driven tools and machine learning models to identify and forecast COVID-19 outbreaks. This relates to infectious disease, and since the focus is on mathematical models (machine learning models in this case) applied to a human infectious disease with a potential outcome relevant to health systems or clinical effects, it meets the inclusion criteria.",https://dx.doi.org/10.1007/s10916-020-01562-1
4,62,Amikacin Pharmacokinetic-Pharmacodynamic Analysis in Pediatric Cancer Patients,"We performed pharmacokinetic-pharmacodynamic (PK-PD) and simulation analyses to evaluate a standard amikacin dose of 15 mg/kg once daily in children with cancer and to determine an optimal dosing strategy. A population pharmacokinetic model was developed from clinical data collected in 34 pediatric patients and used in a simulation study to predict the population probability of various dosing regimens to achieve accepted safety (steady-state unbound trough plasma concentration [fC<sub>min</sub>] of <10 mg/liter)- and efficacy (free, unbound plasma concentration-to-MIC ratio [fC<sub>max</sub>/MIC] of >=8)-linked targets. In addition, an adaptive resistance PD (ARPD) model of Pseudomonas aeruginosa was built based on literature time-kill curve data and linked to the PK model to perform PK-ARPD simulations and compare results with those of the probability approach. Using the probability approach, an amikacin dose of 60 mg/kg administered once daily is expected to achieve the target fC<sub>max</sub>/MIC in 80% of pediatric patients weighing 8 to 70 kg with a 97.5% probability, and almost all patients were predicted to have fC<sub>min</sub> of <10 mg/liter. However, PK-ARPD simulation predicted that 60 mg/kg/day is unlikely to suppress bacterial resistance with repeated dosing. Furthermore, PK-ARPD simulation suggested that amikacin at 90 mg/kg, given in two divided doses (45 mg/kg twice a day), is expected to hit safety and efficacy targets and is associated with a lower rate of bacterial resistance. The disagreement between the two methods is due to the inability of the probability approach to predict development of drug resistance with repeated dosing. This originates from the use of PK-PD indices based on the MIC that neglects measurement errors, ignores the time course dynamic nature of bacterial growth and killing, and incorrectly assumes the MIC to be constant during treatment.",NA, Journal Article,170199,2018,4,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med15&DO=10.1128%2fAAC.01781-17 Ahmed, Mariam A. Department of Experimental and Clinical Pharmacology, University of Minnesota, Minneapolis, Minnesota, USA ahmed452@umn.edu. Brundage, Richard C. Department of Experimental and Clinical Pharmacology, University of Minnesota, Minneapolis, Minnesota, USA.",Antimicrobial Agents & Chemotherapy,382571,Amikacin Pharmacokinetic-Pharmacodynamic Analysis in Pediatric Cancer Patients,"Using Smart Source Parsing Alhadab, Ali A Ahmed, Mariam A Brundage, Richard C e01781-17 UL1 TR000114",4,1098-6596,"29358293 *Amikacin/pd [Pharmacology] Anti-Bacterial Agents/pk [Pharmacokinetics] Anti-Bacterial Agents/pd [Pharmacology] Humans Microbial Sensitivity Tests Models, Theoretical Neoplasms/mi [Microbiology] Pseudomonas aeruginosa/de [Drug Effects] Pseudomonas aeruginosa/py [Pathogenicity] 0 (Anti-Bacterial Agents) 84319SGC3C (Amikacin)",Include,"The study develops a population pharmacokinetic model and an adaptive resistance PD model, conducting simulations to evaluate and optimize amikacin dosing in pediatric cancer patients. It presents clinical outcomes related to the efficacy and safety of drug dosage in treating infectious disease (bacterial infection) and antibiotic resistance, satisfying inclusion criteria for mathematical modeling with clinical outcomes in an infected population.",https://dx.doi.org/10.1128/AAC.01781-17
132-137,25,Anaemia predictors in patients with chronic hepatitis C treated with ribavirin and direct-acting antiviral agents,"Objectives Anaemia is the most common side effect associated with ribavirin (RBV). This study intended to assess its incidence and determine its predictive factors in patients with hepatitis C virus on RBV plus direct-acting antiviral agents (DAAs). Methods A retrospective study of patients receiving RBV+DAA was conducted. Serum haemoglobin (Hb) was determined at baseline and monitored 4 weekly. Anaemia was defined as a single occurrence of Hb <10 g/dL. Bivariate and multivariate logistic regression analyses were conducted to assess the relationship between the occurrence of anaemia and the following factors: age, gender, FibroScan score, viral load, cirrhotic status (yes/no), RBV dose, glomerular filtration rate (GFR), alanine amino transferase, albumin, treatment duration (12 vs >=12 weeks), baseline Hb, and Hb% drop (weeks 0-2). Results 152 patients were included, of which 15.1% experienced anaemia. The analysis revealed that estimated GFR (eGFR), baseline Hb, 12-week treatment duration and Hb% drop (weeks 0-2) were significantly associated with the likelihood of developing anaemia (p<0.05). Two mathematical models were subsequently developed to predict patients at risk of anaemia: a pretreatment model (positive predictive value 86.6%) which included eGFR, baseline Hb and 12-week treatment duration and an intratreatment model (positive predictive value of 90.48%) which in addition included the Hb% drop (weeks 0-2). Conclusion Anaemia was found to be less significant in this cohort compared with studies on RBV plus pegylated interferon, telaprevir or boceprevir combinations, but higher than those on newer DAAs. Baseline Hb, eGFR, 12-week treatment duration and Hb% drop (weeks 0-2) significantly predicted the risk of anaemia and were used to construct two predictive models. Copyright © 2017 BMJ Publishing Group. All rights reserved.",NA, Journal Article,209060,2018,May,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=pmnm4&DO=10.1136%2fejhpharm-2017-001277 Mateo-Carrrasco, Hector. Pharmacy Department, The Royal Marsden Hospital, London, UK. Collado, Antonio. Infectious Disease Department, Torrecardenas University Hospital, Almeria, Spain. Casado Martin, Marta. Gastroenterology Department, Torrecardenas University Hospital, Almeria, Spain.",European Journal of Hospital Pharmacy Science & Practice,402645,Anaemia predictors in patients with chronic hepatitis C treated with ribavirin and direct-acting antiviral agents,"Molina-Cuadrado, Emilio Mateo-Carrrasco, Hector Collado, Antonio Casado Martin, Marta",3,2047-9964,31157007,Include,The abstract meets the inclusion criteria as it involves the development of mathematical models (logistic regression) which predict a clinical outcome (anaemia) in patients with an infectious disease (hepatitis C). The study is original primary research published in a scientific journal. The focus on mathematical models associated with health outcomes within an infected population satisfies the criteria for inclusion.,https://dx.doi.org/10.1136/ejhpharm-2017-001277
264-73,5,Application of the Multistate Tuberculosis Pharmacometric Model in Patients With Rifampicin-Treated Pulmonary Tuberculosis,"This is the first clinical implementation of the Multistate Tuberculosis Pharmacometric (MTP) model describing fast-, slow-, and nonmultiplying bacterial states of Mycobacterium tuberculosis. Colony forming unit data from 19 patients treated with rifampicin were analyzed. A previously developed rifampicin population pharmacokinetic (PK) model was linked to the MTP model previously developed using in vitro data. Drug effect was implemented as exposure-response relationships tested at several effect sites, both alone and in combination. All MTP model parameters were fixed to in vitro estimates except Bmax . Drug effect was described by an on/off effect inhibiting growth of fast-multiplying bacteria in addition to linear increase of the stimulation of the death rate of slow- and nonmultiplying bacteria with increasing drug exposure. Clinical trial simulations predicted well three retrospective clinical trials using the final model that confirmed the potential utility of the MTP model in antitubercular drug development.",NA, Journal Article,218159,2016,5,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&DO=10.1002%2fpsp4.12079 Simonsson, Ush. Department of Pharmaceutical Biosciences, Uppsala University, Uppsala, Sweden.",CPT: Pharmacometrics & Systems Pharmacology,86136,Application of the Multistate Tuberculosis Pharmacometric Model in Patients With Rifampicin-Treated Pulmonary Tuberculosis,"Svensson, R J Simonsson, Ush",5,2163-8306,"27299939 *Antibiotics, Antitubercular/tu [Therapeutic Use] Clinical Trials, Phase II as Topic/sn [Statistics & Numerical Data] *Computer Simulation Humans *Models, Biological Models, Theoretical Rifampin/pk [Pharmacokinetics] *Rifampin/tu [Therapeutic Use] Stem Cells/de [Drug Effects] Stem Cells/me [Metabolism] Treatment Outcome *Tuberculosis, Pulmonary/dt [Drug Therapy] Tuberculosis, Pulmonary/me [Metabolism] 0 (Antibiotics, Antitubercular) VJT6J7R4TR (Rifampin)",Include,"The abstract presents a mathematical model (Multistate Tuberculosis Pharmacometric model) applied in a clinical context involving human patients with tuberculosis. It examines the clinical outcome of drug effects on Mycobacterium tuberculosis treated with rifampicin, thus meeting the criteria for modeling of infectious diseases with clinical outcomes. The model is used to predict outcomes in clinical trial simulations, fulfilling the criteria of presenting clinical outcomes of an infectious disease in humans.",https://dx.doi.org/10.1002/psp4.12079
89-98,13,Ascaris-Trichuris association and malnutrition in Brazilian children,"This work was designed to evaluate the role of intestinal parasites on nutritional status in three rural areas of Brazil. A total of 520 children aged 1-12 years were studied through a questionnaire concerning housing, socio-economic conditions and a 24-h food intake recall. Measurements of weight and height were also performed, and three stool samples were collected on consecutive days for parasitological analysis. Scores of the standard deviation (z-scores) for the weight-for-height and height-for-age were used to characterise the growth profile. A high prevalence of intestinal parasites was detected, with Giardia lamblia (44%), Endolimax nana (43%), Ascaris lumbricoides (41%) and Trichuris trichiura (40%) being the most prevalent. Eleven per cent of the children were classified as showing stunting. Inadequate daily caloric intake was observed in 78% of the population and the proportion of those with inadequate protein intake was 34%. Logistic regression analysis was employed for the multivariate study. Stunting was significantly associated with estimators of low economic income, inadequate protein intake and polyparasitism, especially the association between Ascaris lumbricoides and Trichuris trichiura.",Brazil, Journal Article,431744,1999,"Jan Research Support, Non-U.S. Gov't",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med4&DO=10.1046%2fj.1365-3016.1999.00145.x,Paediatric and Perinatal Epidemiology,269328,Ascaris-Trichuris association and malnutrition in Brazilian children,"Saldiva, S R Silveira, A S Philippi, S T Torres, D M Mangini, A C Dias, R M da Silva, R M Buratini, M N Massad, E",1,0269-5022,"9987788 Animals Anthropometry *Ascariasis/ep [Epidemiology] Ascaris lumbricoides Brazil/ep [Epidemiology] Child *Child Nutrition Disorders/ep [Epidemiology] Child, Preschool Female Humans Infant *Intestinal Diseases, Parasitic/ep [Epidemiology] Logistic Models Male Prevalence Rural Population *Trichuriasis/ep [Epidemiology] Trichuris",Include,"The study presents a mathematical model component, specifically a logistic regression analysis. It studies clinical health outcomes related to infectious diseases (intestinal parasites) in humans, focusing on malnutrition as an outcome. It is original research, published in a scientific journal, and falls within the inclusion criteria.",https://dx.doi.org/10.1046/j.1365-3016.1999.00145.x
365-72,10,Association between specific HIV-1 Env traits and virologic control in vivo,"HIV RNA levels are influenced by genetic characteristics of both the host and the virus. Here we applied machine learning techniques to determine if plasma-derived HIV-1 amino acid sequences can be used to predict spontaneous virologic control. We studied the relationship between HIV-1 env genotype and viral load in 20 chronically infected patients undergoing treatment interruptions (SSITT, Swiss-Spanish Intermittent Treatment Trial) and in 104 primary HIV infected (PHI) patients before antiretroviral therapy (cART) and where applicable also after treatment stop. Extensive longitudinal sampling during the interruptions was performed in nine SSITT patients. Sequences obtained from these nine patients during the first virus rebound were used as a training data set and revealed a strong genetic signature (accuracy 98.6% in cross-validation) associated with control of viremia at levels below 5000copies/mL of viral RNA maintained for at least 2 months after the final cART stop. The simple sequence pattern at gp120 positions 268E/358T was confirmed to be predictive of control in the clonal sequences originating from these patients during all subsequent rebounds. Sequences from the remaining 11 SSITT patients with less frequent sampling and from the PHI patients were used for external validation. High sensitivities (71-100%) and negative predictive values (80-100%) but low positive predictive values (12-40%) were achieved in the patient-wise analysis which was based on presence of the genetic pattern in all clones. These results suggest that presence of virus lacking the amino acid pattern 268E/358T is associated with VL >5000 at baseline of PHI and with low probability of spontaneous virologic control after treatment stop. Conversely, however, presence of 268E/358T does not predict control of viremia. These residues in HIV gp120 might affect in vivo HIV-1 fitness either at the level of Env function or influence susceptibility to adaptive or innate immune response.",Switzerland; Spain, Journal Article,333792,2010,Apr,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med8&DO=10.1016%2fj.meegid.2009.06.002,"Infection, Genetics & Evolution",194320,Association between specific HIV-1 Env traits and virologic control in vivo,"Joos, Beda Rieder, Philip Fischer, Marek Kuster, Herbert Rusert, Peter Trkola, Alexandra Pillai, Satish K Wong, Joseph K Weber, Rainer Gunthard, Huldrych F K01 DA024654",3,1567-7257,"19524069 Drug Administration Schedule Female *HIV Envelope Protein gp120/ge [Genetics] HIV Infections/dt [Drug Therapy] HIV Infections/pa [Pathology] *HIV Infections/vi [Virology] HIV-1/de [Drug Effects] *HIV-1/ph [Physiology] Host-Pathogen Interactions Humans Male Molecular Sequence Data Phylogeny Predictive Value of Tests Sensitivity and Specificity Sequence Analysis, Protein *Viral Load Viremia 0 (Anti-Retroviral Agents) 0 (HIV Envelope Protein gp120)",Include,"The abstract describes a study using machine learning techniques, a type of mathematical model, to analyze HIV-1 genetic sequences. It presents clinical outcomes related to virologic control in infected patients, fulfilling the criteria of focusing on health outcomes within an infected population. It also involves the prediction of clinical outcomes related to viral load management, aligning with the scope of infectious disease outcomes. The study seems to be original primary research and does not focus on behavior, thus meeting the inclusion criteria.",https://dx.doi.org/10.1016/j.meegid.2009.06.002
25-32,56,Attachment of hepatitis C virus to cultured cells: a novel predictive factor for successful interferon therapy,"In order to identify reliable predictive factors for the response to interferon (IFN) therapy, we examined 52 patients with chronic hepatitis C virus (HCV) infection who underwent IFN therapy. Titers of free virions that were not complexed with antibodies were determined by immunoprecipitation of the pretreatment sera with antihuman immunoglobulin. Cell attachment titers were determined by inoculating HPB-Ma cells, a human T-cell line, with the patients' pretreatment sera. A sustained remission was achieved in 9 out of 28 patients with genotype 1b infection and in 18 out of 24 patients with genotype 2 infection. The free virion titers and the cell attachment titers correlated well with the serum HCV RNA levels in patients with genotype 1b infection (r = 0.817, P < 0.001; r = 0.802, P < 0.001, respectively), but not in those with genotype 2 infection. They exhibited a high correlation with the responsiveness to IFN in all patients combined (P < 0.001). A multiple logistic regression analysis was performed to identify the factor most significantly associated with the response to IFN among all confounding factors. The analysis indicated that the cell attachment is the most reliable predictive factor regarding a favorable response to IFN therapy in patients with chronic HCV infection.",NA, Journal Article,434549,1998,Sep,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med4&AN=9700629,Journal of Medical Virology,15231,Attachment of hepatitis C virus to cultured cells: a novel predictive factor for successful interferon therapy,"Kimura, Y Hayashida, K Ishibashi, H Niho, Y Akazawa, K Yanagi, Y",1,0146-6615,"9700629 Cells, Cultured Female Genotype Hepacivirus/ge [Genetics] *Hepacivirus/ph [Physiology] Hepatitis C/dt [Drug Therapy] *Hepatitis C/vi [Virology] Humans *Interferons/tu [Therapeutic Use] Male Middle Aged Precipitin Tests Predictive Value of Tests RNA, Viral/ge [Genetics] 0 (RNA, Viral) 9008-11-1 (Interferons)",Include,"The study presents a mathematical model, specifically a multiple logistic regression analysis, which is a type of statistical model. It investigates clinical outcomes related to infectious diseases (HCV) and evaluates factors associated with responses to interferon therapy in patients. Therefore, it meets the inclusion criteria of using a mathematical model to present at least one clinical outcome in the context of an infectious disease.",
,28(no pagination),"Attitudes towards booster, testing and isolation, and their impact on COVID-19 response in winter 2022/2023 in France, Belgium, and Italy: a cross-sectional survey and modelling study","Background: European countries are focusing on testing, isolation, and boosting strategies to counter the 2022/2023 winter surge due to SARS-CoV-2 Omicron subvariants. However, widespread pandemic fatigue and limited compliance potentially undermine mitigation efforts. Method(s): To establish a baseline for interventions, we ran a multicountry survey to assess respondents' willingness to receive booster vaccination and comply with testing and isolation mandates. Integrating survey and estimated immunity data in a branching process epidemic spreading model, we evaluated the effectiveness and costs of current protocols in France, Belgium, and Italy to manage the winter wave. Finding(s): The vast majority of survey participants (N = 4594) was willing to adhere to testing (>91%) and rapid isolation (>88%) across the three countries. Pronounced differences emerged in the declared senior adherence to booster vaccination (73% in France, 94% in Belgium, 86% in Italy). Epidemic model results estimate that testing and isolation protocols would confer significant benefit in reducing transmission (17-24% reduction, from R = 1.6 to R = 1.3 in France and Belgium, to R = 1.2 in Italy) with declared adherence. Achieving a mitigating level similar to the French protocol, the Belgian protocol would require 35% fewer tests (from 1 test to 0.65 test per infected person) and avoid the long isolation periods of the Italian protocol (average of 6 days vs. 11). A cost barrier to test would significantly decrease adherence in France and Belgium, undermining protocols' effectiveness. Interpretation(s): Simpler mandates for isolation may increase awareness and actual compliance, reducing testing costs, without compromising mitigation. High booster vaccination uptake remains key for the control of the winter wave. Funding(s): The European Commission, ANRS-Maladies Infectieuses Emergentes, the Agence Nationale de la Recherche, the Chaires Blaise Pascal Program of the Ile-de-France region. Copyright © 2023 The Authors",France; Belgium; Italy, Journal Article,580448,2023,May,"https://www.thelancet.com/journals/lanepe/home https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed26&DO=10.1016%2fj.lanepe.2023.100614 (de Meijere, Castellano) Istituto dei Sistemi Complessi (ISC-CNR), Roma, Italy (Valdano, Debin, Kengne-Kuetche, Turbelin, Colizza) Sorbonne Universite, INSERM, Institut Pierre Louis d'Epidemiologie et de Sante Publique (IPLESP), Paris, France (Castellano) Centro Ricerche Enrico Fermi, Roma, Italy (Noel) Sante Publique France, Saint-Maurice, France (Weitz) School of Biological Sciences, Georgia Institute of Technology, Atlanta, GA, United States (Weitz) School of Physics, Georgia Institute of Technology, Atlanta, GA, United States (Weitz) Institut de Biologie, Ecole Normale Superieure, Paris, France (Paolotti) ISI Foundation, Turin, Italy (Hermans, Hens) Data Science Institute, I-biostat, Hasselt University, Hasselt, Belgium (Hens) Centre for Health Economics Research and Modelling Infectious Diseases (CHERMID), Vaccine and Infectious Disease Institute, University of Antwerp, Antwerp, Belgium",The Lancet Regional Health - Europe,192440,"Attitudes towards booster, testing and isolation, and their impact on COVID-19 response in winter 2022/2023 in France, Belgium, and Italy: a cross-sectional survey and modelling study",Embase,,2666-7762 (electronic) 2666-7762,2023513193 Booster Isolation Omicron Public health SARS-CoV-2 adult aged article attitude awareness Belgian Belgium coronavirus disease 2019/dm [Disease Management] cost effectiveness analysis COVID-19 testing cross-sectional study disease simulation disease transmission epidemic epidemiological model female France health care personnel health survey home quarantine human human experiment immunity Italy male mathematical model mitigation nonhuman physical activity questionnaire revaccination sensitivity analysis Severe acute respiratory syndrome coronavirus 2 tuberculin test vaccination virus transmission winter,Include,"The study utilizes a mathematical model, specifically a branching process epidemic spreading model, to evaluate the effectiveness and costs of COVID-19 protocols, meeting the criterion for inclusion concerning mathematical modeling. It presents clinical outcomes related to transmission reduction of an infectious disease (COVID-19) and analyzes implications for health systems through testing and isolation protocols. The study is original research, published in a scientific journal, and is related to human health systems and economic outcomes.",https://dx.doi.org/10.1016/j.lanepe.2023.100614
