"country","n_cit"
"Andorra",2
"Argentina",2
"Australia",23
"Austria",7
"Belgium",10
"Brazil",9
"Canada",66
"Cape Verde",1
"Colombia",1
"Denmark",2
"EU",79
"Ecuador",1
"Egypt",1
"Estonia",3
"Finland",11
"France",47
"Germany",47
"Hungary",1
"IGO",368
"Iceland",2
"India",2
"Indonesia",3
"Ireland",14
"Italy",6
"Japan",15
"Kenya",3
"Luxembourg",1
"Malaysia",2
"Netherlands",23
"New Zealand",10
"Norway",11
"Peru",5
"Philippines",2
"Portugal",5
"Serbia",1
"Singapore",1
"Slovenia",1
"South Africa",14
"South Korea",1
"Spain",51
"Sri Lanka",1
"Sweden",13
"Switzerland",34
"Taiwan",1
"Thailand",2
"Tunisia",1
"UK",83
"USA",342
"Uganda",5
"Uruguay",1
