source_doi,total_citations,policy_document_id,source_title,document_title,published_on,document_url,type,subtype,country,topics,classifications
https://dx.doi.org/10.1371/journal.pone.0152248,1.0,govie-a1e8443484e67a7cd19ca223b871179e,GOV.IE,Infection Prevention and Control (IPC),2023-05-16,https://www.gov.ie/en/publication/a057e-infection-prevention-and-control-ipc/,government,,Ireland,Hospital-acquired infection; Systematic review; Randomized controlled trial,health; science and technology; health>health treatment>medicine
https://dx.doi.org/10.1080/09540120500159334,3.0,who-5ff8925f283e676e408ee88d0679652c,World Health Organization,"Costs of measures to control tuberculosis/HIV in public primary care facilities in Cape Town, South Africa.",2018-03-26,https://apps.who.int/iris/handle/10665/269698,igo,healthcare agency,IGO,HIV/AIDS; Tuberculosis; Sexually transmitted infection,health>diseases and conditions; health; health>diseases and conditions>communicable disease>virus disease
https://dx.doi.org/10.1080/09540120500159334,3.0,worldbank-73b7e12270be50ebdebadfbd5a4a2fda,World Bank,The Global HIV Epidemics among Men Who Have Sex with Men,2011-05-27,https://hdl.handle.net/10986/2308,igo,development bank,IGO,Men who have sex with men; Epidemiology of HIV/AIDS; Sexually transmitted infection,health>diseases and conditions; health; science and technology
https://dx.doi.org/10.1080/09540120500159334,3.0,worldbank-8f3a5ebf1c9996a90cb260b36a12e8da,World Bank,The Global HIV Epidemics among Men Who Have Sex with Men,2012-03-19,https://openknowledge.worldbank.org/handle/10986/2308,igo,development bank,IGO,IPrEx; Men who have sex with men; HIV/AIDS,health; health>diseases and conditions>communicable disease>virus disease; society
https://dx.doi.org/10.1093/cid/civ514,2.0,hcspfr-12a539f763f1205a711b3b467f8478e9,Haut Conseil de la santé publique,Conduite à tenir autour d’un ou plusieurs cas de coqueluche,2022-11-18,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1265,government,agency,France,Epidemiology; Pertussis vaccine; Polymerase chain reaction,health>diseases and conditions; health>diseases and conditions>illness; science and technology>natural science>biology
https://dx.doi.org/10.1093/cid/civ514,2.0,stateofwisconsin-418aea7aa07b5578a08ea69fdbee2944,State of Wisconsin,Pertussis Case Reporting and Investigation Protocol,2018-11-05,https://www.dhs.wisconsin.gov/publications/p01108.pdf,government,,USA,Diseases and disorders; Infectious diseases; Medical specialties,health>diseases and conditions; health; health>diseases and conditions>illness
https://dx.doi.org/10.1016/0035-9203(90)90290-u,7.0,who-329eab11fc377aa0841de0e3fe1dc80d,World Health Organization,Unsafe injections and the transmission of hepatitis B and C in a periurban community in Pakistan.,2018-03-26,https://apps.who.int/iris/handle/10665/268205,igo,healthcare agency,IGO,Injection (medicine); Hepatitis B; Hepatitis,health>diseases and conditions; health>diseases and conditions>communicable disease>virus disease; health
https://dx.doi.org/10.1016/0035-9203(90)90290-u,7.0,who-3ba89f209450e33b2ec6f66ed485370d,World Health Organization,Eastern Mediterranean Health Journal,2019-08-29,https://apps.who.int/iris/handle/10665/326736,igo,healthcare agency,IGO,Hepatocellular carcinoma; Institutional review board; Hepatitis C,health>diseases and conditions; health; education
https://dx.doi.org/10.1016/0035-9203(90)90290-u,7.0,who-3e2d2d7e8a364e10a76893e779a433a5,World Health Organization,"Prevalence of hepatitis B and C infections and associated factors among blood donors in Aden city, Yemen",2014-06-17,https://apps.who.int/iris/handle/10665/118167,igo,healthcare agency,IGO,Hepatitis B; Hepatitis; Hepatitis C,health>diseases and conditions; health>diseases and conditions>communicable disease>virus disease; health
https://dx.doi.org/10.1016/0035-9203(90)90290-u,7.0,who-78f74a9716e3f8dc846569dcbb1e53e2,World Health Organization,The global prevalence of hepatitis A virus infection and susceptibility : a systematic review,2012-06-17,https://apps.who.int/iris/handle/10665/70180,igo,healthcare agency,IGO,Chūbu region; Jaundice; Hepatitis,health; health>diseases and conditions>communicable disease>virus disease; health>diseases and conditions>communicable disease
https://dx.doi.org/10.1016/0035-9203(90)90290-u,7.0,who-992a673bbb1054baacc8e9fcbf91b57e,World Health Organization,Unsafe injections and the transmission of hepatitis B and C in a periurban community in Pakistan / Aamir J. Khan ... [‎et al.]‎,2012-06-16,https://apps.who.int/iris/handle/10665/57250,igo,healthcare agency,IGO,Hypodermic needle; Hepatitis C; Injection (medicine),health>diseases and conditions; health>diseases and conditions>communicable disease>virus disease; health
https://dx.doi.org/10.1016/0035-9203(90)90290-u,7.0,who-c48d21018ea5d207772c737713436de2,World Health Organization,Hepatocellular carcinoma in Yemeni patients: a single centre experience over an 8-year period,2014-06-17,https://apps.who.int/iris/handle/10665/118170,igo,healthcare agency,IGO,Health; Hepatocellular carcinoma; Hepatitis C,health>diseases and conditions; health; health>diseases and conditions>communicable disease>virus disease
https://dx.doi.org/10.1016/0035-9203(90)90290-u,7.0,who-e48a1ed30f57e13e023cd29aba84561c,World Health Organization,Eastern Mediterranean Health Journal,2019-08-29,https://apps.who.int/iris/handle/10665/326737,igo,healthcare agency,IGO,Health; Public health; Medicine,health; health>diseases and conditions; science and technology
https://dx.doi.org/10.1016/j.jval.2020.10.013,1.0,rivmnl-5ddbb7d30eaf24856f469d5859ecfbbd,Rijksinstituut voor Volksgezondheid en Milieu,Prevention of respiratory syncytial virus (RSV) disease in infants. Background information for the Health Council of the Netherlands,2023-07-13,https://www.rivm.nl/publicaties/prevention-of-respiratory-syncytial-virus-rsv-disease-in-infants-background-information,government,research center,Netherlands,Palivizumab; Nirsevimab; Respiratory syncytial virus,health>diseases and conditions>illness; health>diseases and conditions; health>diseases and conditions>communicable disease>virus disease
https://dx.doi.org/10.1016/j.jsat.2020.108158,3.0,gaogov-fb35f344f5dbc654fb12088da4c3b0b0,U.S. Government Accountability Office,Older Workers: Opioid Misuse and Employment Outcomes,2022-02-17,https://www.gao.gov/products/gao-22-104491,government,,USA,Sampling (statistics); Unemployment; Employment,labour; labour; labour>employment
https://dx.doi.org/10.1016/j.jsat.2020.108158,3.0,gpogov-00dd79dbfa0bf609c2a47405db8b6516,Government Publishing Office (GPO),Older workers: opioid misuse and employment outcomes : report to congressional requesters.,2022-02-17,https://purl.fdlp.gov/GPO/gpo177674,government,,USA,Substance abuse; Sampling (statistics); Unemployment,labour; labour>employment; health
https://dx.doi.org/10.1016/j.jsat.2020.108158,3.0,nationalacademymedicine-f5f083627cce3bb8bdda622094ad1f68,National Academy of Medicine,Guide for Future Directions for the Addiction and OUD Treatment Ecosystem,2021-04-05,https://nam.edu/guide-for-future-directions-for-the-addiction-and-oud-treatment-ecosystem/,government,academy,USA,Naloxone; Substance use disorder; Telehealth,society>social problem>addiction; health>health treatment; health>diseases and conditions
https://dx.doi.org/10.1016/j.onehlt.2021.100330,1.0,europa-c4fb397a42b610ce3c5b2d6c5f2428d5,Publications Office of the European Union,One Health Governance in the European Union - Publications Office of the EU,2024-11-15,https://op.europa.eu/en/publication-detail/-/publication/56b65e58-a309-11ef-85f0-01aa75ed71a1/language-en,government,,EU,One Health; Health; European Union,health; environment; health>diseases and conditions
https://dx.doi.org/10.1046/j.1537-2995.1997.37197176950.x,2.0,federalregister-b5aef942f968513836866d93d1522267,Federal Register,Requirements for Testing Human Blood Donors for Evidence of Infection Due to Communicable Disease Agents,1999-08-19,https://www.federalregister.gov/documents/1999/08/19/99-21296/requirements-for-testing-human-blood-donors-for-evidence-of-infection-due-to-communicable-disease,government,,USA,Diseases and disorders; Hematopoietic stem cell transplantation; Plasmapheresis,health>diseases and conditions; health>diseases and conditions>communicable disease>virus disease; health
https://dx.doi.org/10.1046/j.1537-2995.1997.37197176950.x,2.0,hitap-bdd03fdc159cbce266e2bfb28afa796c,Health Intervention and Technology Assessment Program,Research report: Identifying information regarding effectiveness and cost-effectiveness of policy and strategies to mitigate the impact of HIV/AIDS in Thailand,2009-05-29,https://www.hitap.net/download/?fileid=20727&pid=166897,government,agency,Thailand,HIV/AIDS; Preventive healthcare; Prevention of HIV/AIDS,health>diseases and conditions; health; education
https://dx.doi.org/10.1073/pnas.1504964112,36.0,aspehhsgovus-1e82d2ed81c0ed9544fc25161a57a38f,ASPE,To Big Data or Not: Determining the Use of Big Data,2019-09-13,https://aspe.hhs.gov/reports/big-data-or-not-determining-use-big-data,government,,USA,Data; Research; Big data,"economy, business and finance>economic sector>computing and information technology; economy, business and finance>economic sector>computing and information technology>software; science and technology>social sciences>information science"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,cgiar-af4e17b4b66fb5a6f6a218781dbef039,CGIAR,Can call detail records provide insights into women’s empowerment? A case study from Uganda,2021-01-01,https://cgspace.cgiar.org/handle/10568/111023,think tank,research center,France,Sensitivity and specificity; Hyperparameter optimization; Support vector machine,"science and technology; labour; economy, business and finance>economic sector>agriculture"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,datapopalliance-4bf1c6167bf7e7a737620d07fd71c5e7,Data-Pop Alliance,Mobile phone data and COVID-19: Missing an opportunity?,2020-03-27,https://datapopalliance.org/publications/mobile-phone-data-and-covid-19-missing-an-opportunity/,think tank,,USA,COVID-19 pandemic; Information privacy; Pandemic,"health>diseases and conditions; health; economy, business and finance>economic sector>computing and information technology"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,datapopalliance-5f924d2a91c5156cede6d8fdfbd13ab6,Data-Pop Alliance,Understanding the Relationship Between Short and Long Term Mobility,2018-06-21,https://datapopalliance.org/publications/understanding-the-relationship-between-short-and-long-term-mobility/,think tank,,USA,Human migration; SIM card; Census,science and technology; health; science and technology>social sciences>economics
https://dx.doi.org/10.1073/pnas.1504964112,36.0,datapopalliance-9eb7eae03ccc8b17c2a0942e975ec6a9,Data-Pop Alliance,Mobile phone data for informing public health actions across the COVID-19 pandemic life cycle,2020-06-30,https://datapopalliance.org/publications/mobile-phone-data-for-informing-public-health-actions-across-the-covid-19-pandemic-life-cycle/,think tank,,USA,COVID-19 pandemic; Contact tracing; Privacy,"health>diseases and conditions; economy, business and finance>economic sector>computing and information technology; health"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,datapopalliance-fce2af77d4b4efef207e3dc9e5242aef,Data-Pop Alliance,Big Data to Address Global Development Challenges - Paper Series,2019-03-21,https://datapopalliance.org/publications/big-data-to-address-global-development-challenges-paper-series/,think tank,,USA,"Social vulnerability; Climate resilience; Training, validation, and test sets","disaster, accident and emergency incident>disaster; economy, business and finance>economic sector>computing and information technology; science and technology"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,europa-69dd5d921a4f34440d23231a1cec6597,Publications Office of the European Union,How human mobility explains the initial spread of COVID-19 : a European regional analysis.,2020-07-13,https://op.europa.eu/en/publication-detail/-/publication/dbc785b7-c7dc-11ea-adf7-01aa75ed71a1/language-en/format-PDF,government,,EU,Correlation and dependence; Regression analysis; Time series,health>diseases and conditions; science and technology; health
